"id","date","gender","age","language","taskOrder","optionOrder","taskNr","trial","stimulus","response","RT","correct"
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",1,2,"vsnlh","vsnlh",5871.39254878,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",1,3,"rjbhvc","rjvbh",8306.46191747,0
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",1,4,"shcrfxt","shcrfxt",5888.09264172,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",2,1,"bnvs","bnvs",3936.57790497,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",2,2,"bnhzk","bnhzk",3736.48240091,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",2,3,"fldsxh","fldsxh",3419.5746223,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",2,4,"ngzvxst","ngvxht",6355.12165353,0
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",3,1,"vgnx","vgnx",2535.47889576,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",3,2,"xcdkh","xcdkh",2835.75015585,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",3,3,"bftlrh","bftlrh",4470.30978953,1
84,"2017_Feb_09_1515","female","19","other","[2, 1, 3, 4, 5]","['no', 'yes']",3,4,"trdnwkl","trdnwkl",3302.84530763,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,1,"lvsj","lvsj",17246.6404045,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,2,"dwtcr","dwtcr",3402.77286005,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,3,"rthwbn","rthbn",7405.83012183,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,4,"mxndtsk","mxndts",4837.23159868,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,1,"gdns","gdns",2368.65462805,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,2,"ghkvz","ghkvz",4553.59701504,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,3,"mcwfgk","mcvfgk",26903.8929628,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,4,"bjscvmf","bjsc",22450.6128493,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,1,"cfdj","cfdj",4570.30191174,1
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,2,"mcgvj","mcdvj",6204.88956626,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,3,"rxhvgl","rxhvl",7655.96311443,0
85,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,4,"nwbgtvm","nwbgtvl",8540.01865603,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",1,1,"cxjs","cxjs",5437.76030197,1
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",1,2,"bsfcz","bfscz",5671.29761483,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",1,3,"rndxkg","rndxkg",6121.57293729,1
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",1,4,"bjcsvxz","bjxkzc",11275.6215246,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",2,1,"xnfj","xnfj",3402.83490202,1
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",2,2,"lxnrk","lxrnk",4336.88294768,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",2,3,"hrsbln","hrsbnl",5854.75260891,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",2,4,"kxrfdtl","kfrdtl",6388.5149977,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",3,1,"thln","thln",2568.72542019,1
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",3,2,"mtvsb","mtvsb",3052.61844995,1
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",3,3,"wkcflr","wkcrfl",7589.36911741,0
86,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['no', 'yes']",3,4,"cmgdnvh","cmgcmh",5537.8462556,0
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,1,"cldn","cldn",3736.39091421,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,2,"dtbmc","dtbmc",5888.1509832,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,3,"zfkvdh","zvcft",5304.38167732,0
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",1,4,"hcxlkjt","hcxjkl",4854.04434561,0
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,1,"rknx","rknx",2435.43401256,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,2,"gwbth","gwbth",2852.43729821,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,3,"lvrhsk","lvrhsk",3302.78603348,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",2,4,"rfcdwbn","rbdw",8840.31388313,0
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,1,"fhks","fhks",2835.75502291,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,2,"xvjch","xvjch",5087.55628728,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,3,"mrvncz","mrvncz",3102.65745829,1
87,"2017_Feb_09_1515","female","19","other","[1, 2, 4, 3, 5]","['no', 'yes']",3,4,"sghrfld","sghrlfc",5137.50561269,0
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",1,1,"thvw","thvw",5020.7883548,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",1,2,"gxknj","gxknj",5204.23897821,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",1,3,"thxbjn","thxbjn",4620.42230135,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",1,4,"zglbkwt","zgbkwv",24435.6206444,0
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",2,1,"gfdn","gfdn",2252.01607333,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",2,2,"vdhnx","vdhnx",2985.85619871,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",2,3,"hkrvxd","hkrvxd",6922.30830295,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",2,4,"zjlgvct","zjlvhhd",20916.2048474,0
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",3,1,"wvlf","wvlf",2985.8165714,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",3,2,"rmfhx","rmfhx",4303.53694805,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",3,3,"vrznhd","vrznhd",5320.91536163,1
89,"2017_Feb_09_1515","male","21","English","[2, 1, 3, 4, 5]","['yes', 'no']",3,4,"wbxgzcn","wvhgxvn",9040.46087386,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,1,"rzln","rzln",4753.83112761,1
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,2,"mhfgv","mflhv",6221.60216027,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,3,"vkfzsj","vkfsvj",7839.50743989,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,4,"zwdsgmh","zwdfgmh",7122.2576869,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,1,"dblj","dblj",3519.57229125,1
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,2,"btcms","btcms",3886.4933116,1
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,3,"mzldbj","lzmdbj",5754.60542108,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,4,"tmdjhfk","tmdjfhk",15278.4029713,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,1,"smwf","smwf",4737.13620893,1
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,2,"jxhvn","jxhvn",4437.0153895,1
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,3,"zmxfnw","zmhfnw",10041.1840874,0
90,"2017_Feb_09_1515","female","19","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,4,"bnlcfwm","bnlcfwm",5170.7319924,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,1,"cvhm","cvhm",8623.72986414,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,2,"dhwcf","dchf",9290.89744342,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,3,"gbrwvx","gbrwv",4854.06647343,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",1,4,"cfrzwbj","cfrwz",4837.28233306,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,1,"ltdg","ltdg",3302.86147469,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,2,"ctxmz","ctxmz",3869.91065391,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,3,"gnxhkv","gnxhnk",10124.8929109,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",2,4,"ghwtkjf","ghwjt",5487.90040589,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,1,"tbwm","tbwm",2952.56268024,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,2,"xlzbw","xzlwb",6522.03545626,0
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,3,"bgcjnr","bgcjnr",3970.05271702,1
91,"2017_Feb_09_1515","female","21","other","[1, 2, 3, 4, 5]","['yes', 'no']",3,4,"bstrlvm","bstrlv",4970.79881188,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",1,1,"lsnd","snd",13076.9122655,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",1,2,"mbdvc","mbdvc",3252.74618436,1
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",1,3,"fczsxt","mcvsxs",4620.34703791,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",1,4,"hdgbtmx","hgbdf",5804.55000931,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",2,1,"rxvf","rxvf",2702.27030059,1
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",2,2,"zjlfg","zjlfv",2902.44078357,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",2,3,"xblwzn","xblwzn",3052.5440569,1
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",2,4,"mctnzsk","mctnzcw",4887.29404169,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",3,1,"jtfw","jtfw",2702.32503791,1
